id,type,country,region,texture,animal,price
1,Abondance de Savoie,France,"Haute-Savoie, Abondance (Alps Mountains)",Semi-Hard,Cow,
2,Alta Badia,Italy,"Alta Badia, Dolomite Mountains, Veneto",Semi-Hard,Cow,
3,Antico Mugello,Italy,Tuscany,Semi-Hard,Sheep,
4,Appenzeller,Switzerland,Appenzell,Semi-Hard,Cow,
5,Asiago,Italy,Veneto,Ranges from Semi-Soft to Hard,Cow,
6,Basilio (Pecorino al Basilico),Italy,Tuscany,Semi-Hard,Sheep,
7,Beaufort,France,Savoie,Semi-Firm,Cow,
8,Bleu d'Auvergne,France,Auvergne,Semi-Soft Blue,Cow,
9,Boschetto al Tartufo Bianchetto,Italy,Blend of Cow and Sheep,Semi-Soft,Blend of Cow and Sheep,
10,Boule de Lille (Mimolette),France,Nord Pas-de-Calais,Firm to Hard,Cow,
11,Bra,Italy,"Cuneo, Piedmont",Semi-firm to firm,Cow,
12,Brebicet,France,Rhone-Alps,Bloomy Rind,Sheep,
13,Brezain,France,Rhone-Alps,Semi-Hard,Cow,
14,Brie,France,Ile-de-France,Bloomy Rind,Cow,
15,Brigante,Italy,Sardinia,Semi-Soft,Sheep,
16,Le Brin,France,Rhone-Alps,Washed Rind,Cow,
17,Bucheron,France,Loire Valley,Bloomy Rind,Goat,
18,Burrata,Italy,Southern Italy,Fresh,Water Buffalo or Cow,
19,Camembert,France,Normandy,Semi-Soft Bloomy Rind,Cow,
20,Camilla,Italy,Piedmont,Bloomy Rind,Goat,
21,Canestrato Pugliese,Italy,Apulia,Hard,"Cow, Goat, Sheep",
22,Cantal,France,Auvergne,Semi-Hard,Goat,
23,Caprifeuille St. Maure,France,Loire Valley,Bloomy-Rind,Sheep,
24,Carboncino,France,Piedmont,Soft,Goat,
25,Le Carre du Berry,France,Berry,Soft,Cow,
26,Le Caussenard,France,Languedoc,Semi-Firm,Cow and Goat,
27,Chabichou du Poitou,France,Haut Poitou,Semi Firm Bloomy Rind,Cow,
28,Chaource,France,Champagne,Semi-Soft Bloomy Rind,Cow,
29,Chaubier,France,Poitou Charentes,Semi-Firm,Goat,
30,Cheddar,England,Originally in Somerset,Semi-Hard to Hard,Cow,
31,Cheshire,England / Wales,Northwest England & Northeast Wales,Firm,Cow,
32,Chevre du Poitou,France,Poitou,Bloomy-Rind,Sheep,
33,Le Chevrot,France,Haut Poitou,Semi Firm Bloomy Rind,Cow,
34,Clarines / Fromager des Clarines,France,Comte,Bloomy-Rind,Sheep,
35,Comte,France,Comte,Semi-Hard,Cow,
36,Corsu Vecchiu,France,Corsica,Semi-Firm,Goat,
37,La Corte,Italy,Piedmont,Bloomy-Rind,Cow,
38,Cotswold,England,Gloucestershire County,Semi-Hard,Cow,
39,Crema di Roma,Italy,Lazio,Semi-Firm,Sheep,
40,Crescenza,Italy,Lombardy,Soft,Cow,
41,Crottin de Champcol / Crottin de Chavignol,,,Semi-Firm,Goat,
42,Crucolo,Italy,Alto-Adige,Semi-Soft,Cow,
43,D'Affinois,France,Rhone-Alps,Bloomy-Rind,Cow,
44,D'Affinois de Brebis,France,Rhone-Alps,Bloomy-Rind,Sheep,
45,Edam,Holland,Edam-Volendam,Semi-Firm,Cow,
46,L'Edel de Cleron,France,Franche-Comte,Bloomy-Rind,Cow,
47,Emmental de Savoie,France,Haute-Savoie,Semi-Firm,Cow,
48,Epoisses,France,Burgundy,Washed-Rind,Cow,
49,Ewephoria,Holland,Friesland (North),Hard,Sheep,
50,L'Explorateur,France,Isle de France,Bloomy Rind,Cow,
51,Feta,Greece,"Macedonia, Thrace, Epirus, Thessaly, Central Greece, Peloponnese and Lesbos",Semi-Firm,"Sheep, or a mixture of Sheep and Goat",
52,Florette,France,Rhone-Alps,Bloomy Rind,Goat,
53,Fontina Val d'Aosta,Italy,Aosta,Semi-Soft,Cow,
54,Fourme D'Ambert,France,"Town of Ambert, Auvergne",Semi-Firm,Cow,
55,Fourme de Montbrison,France,"Town of Montbrison, Loire",Semi-Firm,Cow,
56,Garrotxa,Spain,"Garrotxa, Catalonia",Semi-firm,Goat,
57,Gerome,France,Alsace (North Eastern France),Soft,Cow,
58,Gorgonzola,Italy,Gouda,Soft to Semi-soft Blue,Cow,
